firme,sector
Alstom SA (ALSO),Transport
Arkema SA (AKE),Matériaux de base
Bureau Veritas SA (BVI),Services
Edenred SA (EDEN),Services
Electricité de France SA (EDF),Fournisseurs de services
Eiffage SA (FOUG),Biens d'équipement
Eurofins Scientific SE (EUFI),Santé
Faurecia (EPED),Biens de consommation cycliques
TechnipFMC PLC (FTI),Energy
Gecina SA (GFCP),Services
Getlink SE (GETP),Transport
Ingenico Group SA (INGC),Technologie
Klepierre SA (LOIM),Services
Orpea SA (ORP),Santé
SCOR (SCOR),Finance
Sodexo SA (EXHO),Services
Solvay SA (SOLB),Matériaux de base
Suez SA (SEVI),Services
Ubisoft Entertainment SA (UBIP),Technologie
Valeo SA (VLOF),Biens d'équipement
